tweet_id,text,created_at,author_id,retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count
1749640531930644796,"@judgment3939 とぐろっくが優しすぎるだけじゃない
そんなこと考える人あまりおらんよ
けど、まあたしかに、ギフテッドはギフテッドならではの悩みもあるんかもね",2024-01-23 03:49:44+00:00,1706651621462351872,0,0,0,0,0,37
1749639117133304091,私もギフテッドって名乗っていいかな？なんかかっこいいから😎,2024-01-23 03:44:06+00:00,1519659380920430595,0,0,3,0,0,176
1749638069991751798,@judgment3939 ギフテッド人生イージーモードっぼくてうざい,2024-01-23 03:39:57+00:00,1706651621462351872,0,1,0,0,0,58
1749635223451746705,"発達障害グレーとして支援してもらってたところも打ち切りなのかな〜
いろんな医療機関で「天才に育てればいいんですよ」って言われたけど、天才って？？！！どう！！育てるの？？！！
IQ130のギフテッド以下だからなー…とも思うし…",2024-01-23 03:28:38+00:00,1391221017192800265,0,0,1,0,0,300
1749634459752915048,"この前娘のIQ検査してきて、やっぱりIQ120後半…空気読む力が他の項目より劣っているけど、同年代よりは高いから余計他の子に絡まれるのかも、と。
ギフテッドほどではないけど、環境整えてあげてくださいって言われた…今回発達異常はないって話だから、いろんなところにまた行かないと。",2024-01-23 03:25:36+00:00,1391221017192800265,0,1,8,0,0,752
1749630910079881426,おじさんもギフテッドはほんのり悪口だろ。,2024-01-23 03:11:30+00:00,124468888,1,1,4,0,0,297
1749630160184471741,"虚くん
別にどちゃ頭良い枠ではないけど
一応INT補正だし
なんとなくこう…キャラとして
ギフテッドみが
少しだけあるなと
思った",2024-01-23 03:08:31+00:00,1681328464417415171,0,0,3,0,0,106
1749624854985441533,"小学生の頃、全珠連の東京都で暗算3連覇。
当時は数字を永遠と覚える事が出来た。

ただ私はギフテッドでも天才でもなく、ただ趣味が努力なだけの凡人。

珠算界隈以外では変な人に思われる可能性もあるのでなんとなく出さない様にしている、つもりだったみたい。意外な所でバレていた。それは→",2024-01-23 02:47:26+00:00,1413189065709547524,0,1,7,0,0,864
1749622909424029731,"知的障害の軽重に関係なく、本人にとって「今、ここ」が「充実して楽しい」環境が作れるように一緒に進んで行くことが大事なんじゃないかな、と思いました。

「「ギフテッド」の教育支援のあり方についての提案」山田倖大他を読む
https://t.co/i4GaIGWYXt",2024-01-23 02:39:42+00:00,106061125,0,0,4,0,0,173
1749622640787284191,"障害は武器でもギフテッドでもない。障害は障害でしかないのだ。
そこに意味を求めてはいけない。
障害は不便だけれど不幸ではない。不便でなくする為に色々考えなきゃだけど、不幸では無い。",2024-01-23 02:38:38+00:00,35903807,0,0,10,0,0,237
1749620141292490933,能力主義云々って飛び級だのうちの子ギフテッド天使ちゃん系も変わらんでしょ…有能だから手厚く保護されるべき系のモンペなんだし,2024-01-23 02:28:42+00:00,184097928,0,0,0,0,0,10
1749617906915406022,我々早熟でもギフテッドでもない凡人もそうだけど、「小手先のソリューションでお茶を濁す」「上手く行かないと諦める」って時は、だいたい自分の才覚の限界を感じて、いや感じ始めています。,2024-01-23 02:19:49+00:00,1153450278168879104,1,0,1,0,0,262
1749610775151579296,"才能を育てることに熱心になるより以前に子供を愛する才能を親には持ってほしいと思った日（なにかみた）。giftedのコピーの「いちばん大切なのは『愛する』才能」を思い出した。
『gifted／ギフテッド』予告編 https://t.co/IQBwvm5w1y @YouTubeより",2024-01-23 01:51:29+00:00,1305859357045710848,0,0,1,0,0,158
1749609359204917471,@Mxi_a_ みらいたゃはギフテッドの2歳だよ,2024-01-23 01:45:52+00:00,749532298287001604,0,1,0,0,0,69
1749608833549484439,"なんとなくIQテストやってみた。
ギフテッドには遠く及ばんな。 https://t.co/HUD2Jld4vn",2024-01-23 01:43:46+00:00,1336821485466394630,0,0,4,0,0,88
1749607789775994887,"ギフテッドあるあるや
ギフテッド情報が

かなり
歪んだ形で広まっているため

ギフテッド本人が

ギフテッドの本質を

そのままお伝えします。

発達障害でも

高IQや
特定の才能を持つ子はいます。

レッテルを貼らず

我が子の力を

ありのまま
伸ばしてあげて。

#ギフテッド #発達障害 #子育て",2024-01-23 01:39:37+00:00,1225368859818917888,0,0,2,0,0,101
1749606244216881620,"１８×１９の勘違いが解決しました
#算数オリンピック　#発達障害　#学習障害　#ギフテッド　＃フリースクール　#ASD  #自閉症スペクトラム　#たぶお式 #中学受験 #全国統一小学生テスト  #全統小 #くもん #公文　#ピグマリオン #お受験　#小学校受験　#SAPIX #算数 #四谷大塚
https://t.co/Y0dhSYvn0E",2024-01-23 01:33:29+00:00,991546653835382784,0,0,0,0,0,561
1749604998462484897,今夜はギフテッドの偏見・ステレオタイプについて論文ひたすら調べよう,2024-01-23 01:28:32+00:00,1229650988216115200,0,0,0,0,0,144
1749604686284607790,@205__26 勉強できるって言ったらギフテッドとか？,2024-01-23 01:27:17+00:00,1468166143362093058,0,1,2,0,0,279
1749603606108729440,"自分が頭がいいのかは、わからないけれど

頭がいい人達の中に入ると「この人はすごく頭がいい」と名指しされるしやっかまれる事が多いのが私です🦊⭐️

これから頑張る！

#ギフテッド　#頭の良さ",2024-01-23 01:23:00+00:00,806075218363969536,1,1,5,0,0,722
1749601915422564506,"@miosuke0817 えろ活動の阻害要因となるアレルギーを体内から排除するみおさんのナチュラルなえろパワーに脱帽🙇

持って生まれた特殊ギフテッドかも😳",2024-01-23 01:16:17+00:00,3578384304,0,0,0,0,0,19
1749600222123311398,「ギフテッドは発達障害とは違う」が自称ギフテッド/ギフママ界隈で目立ってきたが、自分たちは差別されるような障害者ではないという意思表示なのだろうか？自己都合で障害者になったりならなかったり、すごく自由でいいですね。,2024-01-23 01:09:33+00:00,2887174478,0,0,0,1,1,162
1749599978820157634,割とこれが死ぬ気になれば出来る方の未発見サバイバー(一応他の診断名ついたけどぶっちゃけ医者の見立ても怪しいので転院した)(出来なかったら殺される前提の虐待家庭育ちなので生きるためにやってた)なんだけど、これが出来る人自体がまずある意味のギフテッドなんだと思ってるし、出来る側ながら,2024-01-23 01:08:35+00:00,1548642835313766400,0,1,0,0,0,63
1749593122542322143,@FQpRgiLK7l5403 あまり言いたくないけどギフテッドじゃないんかな,2024-01-23 00:41:20+00:00,1484917249702240261,0,0,0,0,0,352
