id,status,plan,scale,login_status,inbound,taishu_tenpyo,cnt_brand,cnt_cp,cp_brand,cnt_store,avg_store_info,media_library,cnt_category,bt_resto,bt_retail,bt_hotel,bt_salon,bt_activity,bt_other,rev,rev_posi,rev_nega,rev_mix,rev_none,rev_avg_comment,rev_avg_rate,rev_avg_uuser,lang_ja,lang_en,lang_ko,lang_ch_han,lang_ch_kan,lang_thai,lang_other,st_google,st_trip_advisor,st_tabelog,st_retty,st_hot_pepper_gourmet,st_gnavi,st_hot_pepper_beauty,st_yahoo_loco,st_asoview,st_demaecan,st_ikyu,st_ozmall,st_tribeau,st_clinic,q_pos,q_neg,q_neu,s_pos,s_neg,s_neu,c_pos,c_neg,c_neu,a_pos,a_neg,a_neu,un_pos,un_neg,un_neu,photo,rep,rep_posi,rep_nega,rep_mix,rep_none,rep_avg_comment,rep_avg_rate,rep_avg_uuser,weekly,monthly,wday_index,now,scheduled,tw,fb,in,web,call,direction,pv_search_pc,pv_map_pc,pv_search_sp,pv_map_sp,chat,booking,orders,search,search_per_keyword,cnt_keywords,post_total,post_sns,reaction,pv_total
13729,low_touch,growth,medium,30日以内,0,0,5,0,0,20,180,19,5,2,3,0,0,0,0,308,117,10,9,132,70,4,2,0,0,0,0,0,0,0,240,4,0,0,0,0,0,64,0,0,0,0,0,0,47,6,2,13,8,0,2,0,0,30,0,0,300,51,110,1508,43,17,1,3,20,145,5,2,11,0,213,98,40,0,0,0,64557,7466,100431,739424,86131,2925825,1365750,1,0,0,194629,643138,591122,362,0,172454,5117130
34288,tech_touch,growth,small,7日以内,0,0,1,0,0,2,285,1,1,1,0,0,0,0,0,179,103,6,9,51,129,4,3,15,6,0,0,0,0,0,120,0,41,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704,193,88,16,15,70,121,4,7,0,0,0,2,0,0,0,0,20135,1562,24229,85276,12496,712591,181671,0,0,0,237455,403361,1064732,2,0,45926,992034
30493,low_touch,growth,small,1日以内,0,0,5,0,0,5,199,32,2,2,0,0,0,0,3,288,106,17,30,127,51,4,4,0,0,0,0,0,0,0,257,0,24,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2058,71,25,7,9,27,56,4,5,63,0,0,8,46,0,0,0,70384,17175,219209,99130,63317,432146,318358,0,1,0,632560,525577,2172243,117,0,306768,912951
18415,high_touch,enterprise,larger,3日以内,0,0,6,703,6,730,89,516,2,0,6,0,0,0,0,59387,12103,4125,2090,36556,23,4,5,100,3,1,1,0,0,1,56071,0,0,0,0,0,0,3316,0,0,0,0,0,0,109,77,11,265,295,3,11,12,0,41,13,1,1924,801,1288,68047,7,6,0,1,0,58,4,1,20,0,93,68,119,0,0,0,2281849,3432781,10429856,17924486,8655770,103610157,148138398,7,0,0,438598,1949718,3976529,300,0,16144486,278328811
2641,low_touch,enterprise,large,1日以内,0,0,8,75,26,86,99,35,7,1,0,0,0,3,4,3287,517,912,265,1333,72,3,3,312,42,3,10,3,0,9,3031,0,7,0,0,0,0,249,0,0,0,0,0,0,32,40,4,226,882,7,5,4,0,31,18,0,1485,2345,859,4148,181,51,71,28,16,110,3,3,0,0,0,1,1,0,0,0,230829,121960,695791,1600917,402897,12809445,9134069,0,0,0,200595,936256,1893353,2,0,1048580,23947328
11947,low_touch,growth,medium,3日以内,0,0,2,0,0,15,313,376,2,0,2,0,0,0,0,87,35,20,13,8,75,3,1,0,0,0,0,0,0,0,42,0,0,0,0,0,0,45,0,0,0,0,0,0,3,1,0,11,33,0,0,0,0,0,0,0,80,47,39,44,64,19,16,9,18,65,3,1,1262,0,0,53,149,23,49,0,8114,9683,32814,65668,23646,357596,380509,0,0,0,331488,844380,1731559,1464,72,50611,827419
39472,low_touch,growth,medium,30日以内,0,0,9,0,0,13,243,9,2,9,0,0,0,0,0,1569,706,167,106,506,87,4,5,0,0,0,0,0,0,0,1113,0,205,21,83,4,0,15,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2625,313,95,61,30,102,62,4,4,0,0,0,0,0,0,0,0,15449,5232,43212,170942,40273,1796055,1436199,0,70,0,54583,154013,614381,0,0,63893,3443469
35806,tech_touch,growth,small,30日以内,1,0,1,0,0,1,158,2,1,1,0,0,0,0,0,519,416,6,5,80,93,5,23,68,337,15,5,4,0,10,399,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,11,11,0,0,0,109,5,3,0,0,0,27,0,0,0,0,2839,391,3636,12403,2722,69547,88665,5,19,0,37859,328264,822514,27,0,6866,173337
9637,low_touch,enterprise,medium,1日以内,0,0,2,25,16,27,98,198,2,2,0,0,0,0,0,3125,921,367,233,1416,83,4,3,0,0,0,0,0,0,0,2173,5,416,1,0,0,0,165,0,365,0,0,0,0,1706,494,128,433,563,6,8,55,0,79,16,3,2202,633,701,10896,241,72,17,15,122,64,4,4,217,0,0,4,12,0,0,0,127071,51749,388230,534443,219209,7204882,10634559,5,0,0,239889,540575,1052611,233,0,567050,18593093
20330,tech_touch,growth,small,30日以内,0,0,1,0,0,1,70,3,1,0,0,0,0,0,1,10,8,1,1,0,92,5,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,14,7,1,3,10,8,1,1,0,92,5,3,0,0,0,3,0,0,2,2,193,0,1340,1217,238,1454,1111,0,0,0,317904,1187911,1991695,3,4,1533,4020
22573,high_touch,enterprise,larger,1日以内,1,1,14,632,30,672,380,59,7,13,0,0,0,0,1,74946,25131,8049,6683,31743,84,4,5,42189,694,164,407,128,24,366,63774,33,5404,0,1949,0,0,3749,0,0,0,0,0,0,2388,928,158,934,896,22,53,52,0,188,51,2,3498,1294,1213,216304,133305,40237,10414,10165,68124,41,4,5,67,0,16,166,12,0,0,0,11925451,7777317,15473565,22969010,7586286,331089078,201497542,14,155190,0,29079,149516,579941,261,0,35176333,563141916
37438,high_touch,growth,medium,1日以内,0,0,2,0,0,45,1,3,1,0,1,0,0,0,1,5029,1318,387,253,2314,113,4,11,1252,38,5,17,2,0,7,4398,7,436,15,0,0,0,173,0,0,0,0,0,0,584,190,123,36,51,2,4,0,2,38,16,5,2131,658,1440,1421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83767,4602,263912,169728,79943,442050,568922,0,0,0,77594,106255,370725,0,0,352281,1260643
38086,tech_touch,enterprise,small,1日以内,0,0,1,1,1,1,307,1,1,1,0,0,0,0,0,28,24,0,1,3,184,4,2,0,0,0,0,0,0,0,8,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,311,1612,5201,1079,24004,26031,0,58,0,179056,456162,630081,0,0,2446,56315
19505,tech_touch,small,small,3日以内,0,0,4,0,0,4,275,1,2,4,0,0,0,0,0,957,497,39,23,377,40,4,11,0,0,0,0,0,0,0,868,0,60,0,29,0,0,0,0,0,0,0,0,0,247,31,2,119,79,0,0,1,0,54,12,1,435,106,51,146,1288,675,99,40,455,51,4,9,0,0,0,76,3,0,0,1,27769,8585,25527,109186,15452,1231303,393267,5,662,0,60451,220256,599172,79,1,61881,1749208
38349,tech_touch,growth,small,60日以内,0,0,1,0,0,1,618,1,1,0,0,0,1,0,0,32,23,0,4,5,128,5,2,0,0,0,0,0,0,0,6,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,7,0,0,5,110,5,1,0,0,0,0,0,0,0,0,3543,538,1259,3248,869,19859,20991,0,0,0,226074,560814,1608649,0,0,5340,44967
10066,tech_touch,growth,medium,1日以内,0,0,1,0,0,14,169,137,1,0,1,0,0,0,0,1550,1376,6,13,135,58,5,5,0,0,0,0,0,0,0,1351,0,0,0,0,0,0,199,0,0,0,0,0,0,487,3,0,1259,8,0,9,0,0,52,0,0,1613,39,46,89,2005,1755,6,15,211,61,5,6,120,47,172,43,101,0,0,0,24349,14063,47137,159067,24015,1354893,454158,0,0,0,34401,276856,327036,483,0,85549,1992133
41,high_touch,growth,medium,1日以内,0,0,28,32,32,41,288,321,12,28,0,0,0,0,0,4883,2489,361,619,1123,121,4,4,136,12,2,2,2,0,2,1455,15,2472,66,213,0,0,31,0,0,135,496,0,0,4779,1058,405,996,1002,27,27,19,0,1189,134,24,4965,1265,1728,11728,2391,768,249,227,1047,86,4,3,1902,0,0,13,1853,0,0,0,244775,71073,201390,1671873,277353,8080072,4412558,53,4066,28,280141,681134,2630600,3768,0,517238,14441856
28745,high_touch,enterprise,small,1日以内,1,0,3,3,3,3,199,3,3,0,0,0,0,0,3,8271,2317,361,324,4542,117,4,130,2101,797,208,325,47,14,246,7937,12,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5467,0,0,0,0,0,0,0,0,0,0,164,16,48,0,0,0,606291,41566,2195838,2086850,681527,11043818,6151135,0,0,0,48553,235425,836059,228,0,2843695,19963330
30790,low_touch,growth,medium,1日以内,0,0,5,0,0,48,320,218,4,2,3,0,0,0,0,3152,1843,282,191,685,113,4,5,0,0,0,0,0,0,0,2499,1,494,33,0,0,0,56,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2384,1163,876,99,33,109,70,3,4,8,0,0,11,9,0,0,0,100496,18411,142037,317605,81424,2363872,2349049,20,0,0,755386,1023731,2702180,28,0,260944,5111950
12542,tech_touch,growth,medium,1日以内,0,0,6,0,0,6,101,16,6,5,0,0,1,0,0,1002,424,74,66,402,127,4,6,0,0,0,0,0,0,0,781,6,122,5,45,0,0,36,0,0,7,0,0,0,340,82,22,121,94,1,11,15,0,109,12,0,1083,414,161,3540,934,570,86,73,170,112,4,8,0,0,0,0,0,0,0,0,390582,46223,402539,317965,185860,2985825,2081756,47,652,0,303039,816238,1421410,0,0,839344,5571406
